"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete file","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Files","",""
"","561","Login with correct email and password","LMS service","2026-09-10","passed","2026-09-10","Login","Authentication","",""
"","35","Create course","LMS service","2026-09-10","passed","2026-09-10","Create entity","Courses","",""
"","277","Create file with empty filename","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","17","Get user me","LMS service","2026-09-10","passed","2026-09-10","Get entity","Users","",""
"","540","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","294","Get exercise","LMS service","2026-09-10","passed","2026-09-10","Get entity","Exercises","",""
"","55","Update exercise","LMS service","2026-09-10","passed","2026-09-10","Update entity","Exercises","",""
"","31","Get exercises","LMS service","2026-09-10","passed","2026-09-10","Get entities","Exercises","",""
"","311","Update course","LMS service","2026-09-10","passed","2026-09-10","Update entity","Courses","",""
"","33","Create exercise","LMS service","2026-09-10","passed","2026-09-10","Create entity","Exercises","",""
"","16","Get file","LMS service","2026-09-10","passed","2026-09-10","Get entity","Files","",""
"","271","Create file","LMS service","2026-09-10","passed","2026-09-10","Create entity","Files","",""
"","20","Delete exercise","LMS service","2026-09-10","passed","2026-09-10","Delete entity","Exercises","",""
"","272","Create file with empty directory","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","297","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
"","273","Get file with incorrect file id","LMS service","2026-09-10","passed","2026-09-10","Validate entity","Files","",""
"","303","Get courses","LMS service","2026-09-10","passed","2026-09-10","Get entities","Courses","",""
"","562","Create user","LMS service","2026-09-10","passed","2026-09-10","Create entity","Users","",""
